	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
CCI	-0.025	-0.029	-0.212	0.068	0.194	-0.428	-0.151	-1.091
RF	-0.005	-0.005	-0.094	0.088	0.362	-0.067	-0.016	-0.26
RAI	0.044	0.052	0.441	0.086	0.232	0.6	0.223	1.896
SEE	0.088	0.103	7.409	0.069	0.297	1.482	0.348	24.926
JBHT	0.088	0.103	3.602	0.058	0.211	1.77	0.491	17.037
WM	0.092	0.109	0.831	0.078	0.187	1.387	0.581	4.431
BLL	0.058	0.068	0.732	0.087	0.25	0.782	0.272	2.922
LEG	0.055	0.064	0.85	0.05	0.153	1.29	0.422	5.55
AVY	-0.055	-0.064	-0.382	0.081	0.217	-0.794	-0.296	-1.754
XL	-0.009	-0.01	-0.095	0.081	0.249	-0.13	-0.042	-0.38
EW	0.029	0.034	0.358	0.096	0.289	0.359	0.119	1.238
ROST	0.087	0.103	1.419	0.095	0.283	1.076	0.363	5.008
LEN	0.005	0.006	0.081	0.082	0.293	0.075	0.021	0.276
