	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
CVC	0.129	0.025	0.184	0.157	0.405	0.163	0.063	0.454
IFF	-0.078	-0.016	-0.109	0.099	0.258	-0.17	-0.065	-0.421
SYK	0.072	0.014	0.083	0.098	0.229	0.151	0.064	0.365
MYL	0.341	0.063	0.326	0.17	0.364	0.373	0.174	0.896
THC	0.439	0.079	0.45	0.174	0.383	0.456	0.207	1.173
OMC	-0.125	-0.027	-0.158	0.087	0.216	-0.317	-0.128	-0.731
WMT	0.208	0.04	0.315	0.068	0.178	0.595	0.227	1.771
SRE	0.045	0.009	0.056	0.086	0.209	0.108	0.044	0.268
TE	0.503	0.089	0.515	0.143	0.315	0.621	0.282	1.631
ADS	0.095	0.019	0.073	0.137	0.264	0.14	0.073	0.276
AET	0.43	0.078	0.428	0.13	0.283	0.598	0.275	1.513
ANTM	-0.008	-0.001	-0.012	0.126	0.336	-0.013	-0.005	-0.036
UTX	-0.023	-0.004	-0.026	0.104	0.243	-0.047	-0.02	-0.109
ROP	0.08	0.016	0.083	0.107	0.239	0.152	0.068	0.35
PBCT	0.047	0.009	0.09	0.085	0.255	0.113	0.037	0.353
CERN	-0.062	-0.013	-0.046	0.16	0.299	-0.083	-0.044	-0.153
DHR	-0.148	-0.033	-0.129	0.119	0.241	-0.279	-0.138	-0.537
HP	0.412	0.075	0.377	0.175	0.368	0.428	0.204	1.023
RF	0.348	0.064	0.636	0.152	0.424	0.425	0.152	1.498
LM	0.468	0.084	0.526	0.137	0.314	0.609	0.267	1.673
CB	0.422	0.076	0.386	0.09	0.189	0.845	0.404	2.034
PXD	0.026	0.005	0.026	0.189	0.415	0.029	0.013	0.064
PGR	0.15	0.029	0.14	0.098	0.207	0.303	0.143	0.676
EW	0.147	0.029	0.18	0.122	0.292	0.24	0.1	0.618
TRV	0.081	0.016	0.092	0.086	0.198	0.193	0.083	0.464
VAR	-0.026	-0.005	-0.024	0.114	0.24	-0.048	-0.023	-0.101
BWA	0.287	0.054	0.334	0.129	0.301	0.421	0.181	1.11
VNO	0.167	0.033	0.148	0.107	0.221	0.308	0.149	0.672
UNH	0.506	0.089	0.47	0.123	0.26	0.727	0.344	1.804
CBG	-0.278	-0.066	-0.261	0.185	0.389	-0.357	-0.17	-0.672
NWL	0.244	0.047	0.414	0.102	0.281	0.457	0.167	1.473
CLX	-0.098	-0.021	-0.118	0.082	0.198	-0.259	-0.107	-0.594
CHRW	0.024	0.005	0.029	0.115	0.278	0.044	0.018	0.107
LB	0.234	0.045	0.235	0.113	0.248	0.396	0.181	0.946
MCD	-0.037	-0.007	-0.047	0.074	0.181	-0.107	-0.043	-0.259
AMP	0.842	0.136	0.716	0.145	0.296	0.941	0.461	2.415
CA	0.136	0.027	0.19	0.087	0.223	0.309	0.121	0.851
DD	-0.265	-0.062	-0.269	0.1	0.219	-0.625	-0.285	-1.223
AEE	0.032	0.006	0.035	0.083	0.192	0.079	0.034	0.186
